Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee,date,win,form_last_5,Control Time Sec,Total_fight_length_sec,landed_sig_str,atmp_sig_str,landed_total_str,atmp_total_str,landed_td,atmp_td,landed_head,atmp_head,landed_body,atmp_body,landed_leg,atmp_leg,landed_distance,atmp_distance,landed_clinch,atmp_clinch,landed_ground,atmp_ground,sig_str_lpm,total_str_lpm,head_lpm,body_lpm,leg_lpm,distance_lpm,clinch_lpm,ground_lpm,sig_str_acc,total_str_acc,td_acc,head_acc,body_acc,leg_acc,distance_acc,clinch_acc,ground_acc,KD_rolling_mean,Sub. Att_rolling_mean,Reversal_rolling_mean,Control Time Sec_rolling_mean,Total_fight_length_sec_rolling_mean,landed_sig_str_rolling_mean,atmp_sig_str_rolling_mean,landed_total_str_rolling_mean,atmp_total_str_rolling_mean,landed_td_rolling_mean,atmp_td_rolling_mean,landed_head_rolling_mean,atmp_head_rolling_mean,landed_body_rolling_mean,atmp_body_rolling_mean,landed_leg_rolling_mean,atmp_leg_rolling_mean,landed_distance_rolling_mean,atmp_distance_rolling_mean,landed_clinch_rolling_mean,atmp_clinch_rolling_mean,landed_ground_rolling_mean,atmp_ground_rolling_mean,sig_str_lpm_rolling_mean,total_str_lpm_rolling_mean,head_lpm_rolling_mean,body_lpm_rolling_mean,leg_lpm_rolling_mean,distance_lpm_rolling_mean,clinch_lpm_rolling_mean,ground_lpm_rolling_mean
UFC Fight Night: Smith vs. Spann,Impa Kasanganay - Carlston Harris,Carlston Harris,Welterweight,W,1,24 of 46,24 of 48,0 of 1,0,0,0:21,16 of 37,6 of 7,2 of 2,14 of 35,0 of 0,10 of 11,KO/TKO,"Time:
        
        2:38","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,5,1,3.0,21,158,24,46,24,48,0,1,16,37,6,7,2,2,14,35,0,0,10,11,9.113924050632912,9.113924050632912,6.075949367088608,2.278481012658228,0.759493670886076,5.3164556962025316,0.0,3.79746835443038,0.5217391304347826,0.5,0.0,0.43243243243243246,0.8571428571428571,1.0,0.4,0.0,0.9090909090909091,0.2,0.2,0.0,131.2,181.6,23.2,46.4,42.4,68.6,1.0,2.8,16.4,37.6,5.2,6.6,1.6,2.2,15.2,36.6,2.6,3.4,5.4,6.4,7.234906022247794,12.082178749520521,4.881614115841964,1.6043022631377064,0.7489896432681243,5.259412351361719,0.536,1.439493670886076
UFC Fight Night: Smith vs. Spann,Nate Maness - Tony Gravely,Nate Maness,Bantamweight,W,1,31 of 63,64 of 98,1 of 1,0,0,0:15,26 of 57,5 of 6,0 of 0,21 of 52,2 of 2,8 of 9,KO/TKO,"Time:
        
        2:10","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Keith Peterson,4,1,3.0,15,130,31,63,64,98,1,1,26,57,5,6,0,0,21,52,2,2,8,9,14.307692307692308,29.53846153846154,12.0,2.307692307692308,0.0,9.692307692307693,0.9230769230769231,3.6923076923076925,0.49206349206349204,0.6530612244897959,1.0,0.45614035087719296,0.8333333333333334,0.0,0.40384615384615385,1.0,0.8888888888888888,0.2,0.4,0.0,73.8,228.2,31.0,59.2,75.0,108.8,0.2,0.2,23.6,50.0,5.2,6.8,2.2,2.4,18.2,42.8,4.6,6.2,8.2,10.2,8.110807818136063,19.828848250985654,6.257491821155943,1.3588558006878617,0.4944601962922574,4.896127841624025,1.0303296703296703,2.1843503061823673
UFC Fight Night: Smith vs. Spann,Nate Maness - Tony Gravely,Tony Gravely,Bantamweight,L,1,36 of 68,44 of 77,1 of 6,0,0,2:26,18 of 43,8 of 11,10 of 14,25 of 55,8 of 10,3 of 3,KO/TKO,"Time:
        
        2:10","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Keith Peterson,4,0,2.0,146,130,36,68,44,77,1,6,18,43,8,11,10,14,25,55,8,10,3,3,16.615384615384617,20.30769230769231,8.307692307692308,3.6923076923076925,4.615384615384616,11.53846153846154,3.6923076923076925,1.3846153846153848,0.5294117647058824,0.5714285714285714,0.16666666666666666,0.4186046511627907,0.7272727272727273,0.7142857142857143,0.45454545454545453,0.8,1.0,0.4,0.0,0.0,228.4,219.6,39.0,89.8,49.0,102.6,3.4,10.2,23.8,67.8,6.8,11.4,8.4,10.6,26.6,69.8,6.6,9.2,5.8,10.8,10.365429864253395,12.920361990950227,6.2474208144796375,1.7784615384615385,2.3395475113122175,6.900633484162896,1.7384615384615387,1.7263348416289592
UFC Fight Night: Smith vs. Spann,Erin Blanchfield - Sarah Alpar,Erin Blanchfield,Women's Flyweight,W,0,120 of 210,198 of 318,3 of 3,0,0,9:43,94 of 182,15 of 17,11 of 11,53 of 121,10 of 10,57 of 79,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,7,1,5.0,583,300,120,210,198,318,3,3,94,182,15,17,11,11,53,121,10,10,57,79,24.0,39.6,18.8,3.0,2.2,10.6,2.0,11.4,0.5714285714285714,0.6226415094339622,1.0,0.5164835164835165,0.8823529411764706,1.0,0.4380165289256198,1.0,0.7215189873417721,0.0,1.0,0.0,318.0,214.4,58.0,107.4,101.6,161.2,2.4,3.8,43.6,91.0,7.6,8.6,6.8,7.8,35.0,78.0,3.4,4.4,19.6,25.0,17.9773364500313,28.624115135810293,13.280152435155822,2.098165257557562,2.599018757317916,12.946334670578779,0.8356100743834007,4.195391705069125
UFC Fight Night: Smith vs. Spann,Erin Blanchfield - Sarah Alpar,Sarah Alpar,Women's Flyweight,L,0,41 of 113,45 of 120,0 of 1,0,0,0:00,22 of 87,8 of 13,11 of 13,40 of 110,1 of 3,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,0,0,0.0,0,300,41,113,45,120,0,1,22,87,8,13,11,13,40,110,1,3,0,0,8.2,9.0,4.4,1.6,2.2,8.0,0.2,0.0,0.36283185840707965,0.375,0.0,0.25287356321839083,0.6153846153846154,0.8461538461538461,0.36363636363636365,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,300.0,41.0,113.0,45.0,120.0,0.0,1.0,22.0,87.0,8.0,13.0,11.0,13.0,40.0,110.0,1.0,3.0,0.0,0.0,8.2,9.0,4.4,1.6,2.2,8.0,0.2,0.0
UFC Fight Night: Smith vs. Spann,Montel Jackson - JP Buys,Montel Jackson,Bantamweight,W,4,25 of 43,91 of 117,4 of 5,1,0,10:03,18 of 36,7 of 7,0 of 0,11 of 17,6 of 8,8 of 18,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean,4,1,5.0,603,300,25,43,91,117,4,5,18,36,7,7,0,0,11,17,6,8,8,18,5.0,18.2,3.6,1.4,0.0,2.2,1.2,1.6,0.5813953488372093,0.7777777777777778,0.8,0.5,1.0,0.0,0.6470588235294118,0.75,0.4444444444444444,1.4,0.4,0.0,250.8,228.0,23.2,48.4,47.2,75.8,1.2,3.2,18.6,42.4,2.8,4.0,1.8,2.0,15.4,35.6,2.6,3.4,5.2,9.4,7.273153153153153,12.087207207207207,6.325045045045045,0.5740540540540541,0.37405405405405406,3.776936936936937,0.52,2.9762162162162165
UFC Fight Night: Smith vs. Spann,Montel Jackson - JP Buys,JP Buys,Bantamweight,L,0,8 of 24,39 of 60,1 of 7,3,0,1:20,3 of 10,4 of 13,1 of 1,6 of 22,1 of 1,1 of 1,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean,2,0,0.0,80,300,8,24,39,60,1,7,3,10,4,13,1,1,6,22,1,1,1,1,1.6,7.8,0.6,0.8,0.2,1.2,0.2,0.2,0.3333333333333333,0.65,0.14285714285714285,0.3,0.3076923076923077,1.0,0.2727272727272727,1.0,1.0,0.0,1.0,0.0,26.666666666666668,169.0,6.333333333333333,21.666666666666668,16.666666666666668,33.666666666666664,0.3333333333333333,3.3333333333333335,3.0,13.0,2.0,5.666666666666667,1.3333333333333333,3.0,5.0,20.0,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,3.167696431090422,5.234363097757089,1.6642403724079557,0.7046692058118212,0.7987868528706447,2.4461278036394414,0.6549019607843137,0.06666666666666667
UFC Fight Night: Brunson vs. Till,Dalcha Lungiambula - Marc-Andre Barriault,Dalcha Lungiambula,Middleweight,L,0,85 of 217,87 of 219,2 of 5,0,0,0:32,60 of 185,21 of 26,4 of 6,64 of 185,21 of 32,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,3,0,0.0,32,300,85,217,87,219,2,5,60,185,21,26,4,6,64,185,21,32,0,0,17.0,17.4,12.0,4.2,0.8,12.8,4.2,0.0,0.391705069124424,0.3972602739726027,0.4,0.32432432432432434,0.8076923076923077,0.6666666666666666,0.34594594594594597,0.65625,0.0,0.0,0.0,0.0,64.5,207.5,37.0,85.75,45.0,95.25,1.25,3.0,24.5,69.25,9.25,12.75,3.25,3.75,25.25,66.25,9.25,15.25,2.5,4.25,13.338940941829783,18.238708371385783,8.299276294147553,2.9122370930304777,2.1274275546517543,9.603045614632384,2.1214803304294616,1.614414996767938
UFC Fight Night: Brunson vs. Till,Dalcha Lungiambula - Marc-Andre Barriault,Marc-Andre Barriault,Middleweight,W,0,118 of 289,128 of 299,0 of 0,0,0,0:31,80 of 233,24 of 40,14 of 16,93 of 250,25 of 39,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,10,1,3.0,31,300,118,289,128,299,0,0,80,233,24,40,14,16,93,250,25,39,0,0,23.6,25.6,16.0,4.8,2.8,18.6,5.0,0.0,0.4083044982698962,0.4280936454849498,0.0,0.34334763948497854,0.6,0.875,0.372,0.6410256410256411,0.0,0.0,0.2,0.2,29.6,167.4,53.4,116.6,61.6,126.0,0.0,0.0,39.8,99.0,10.6,14.2,3.0,3.4,34.4,86.4,18.6,29.8,0.4,0.4,15.06534344711336,17.585930824337904,10.828602223734967,2.9267412233783916,1.31,9.823909364971312,5.087587928295892,0.15384615384615383
UFC Fight Night: Brunson vs. Till,Derek Brunson - Darren Till,Derek Brunson,Middleweight,W,0,41 of 84,101 of 145,3 of 6,1,0,7:23,37 of 76,2 of 2,2 of 6,9 of 36,3 of 3,29 of 45,Submission,"Time:
        
        2:13","Round:
        
        3","Time format:
        
        5 Rnd (5-5-5-5-5)",Herb Dean,2,1,1.0,443,133,41,84,101,145,3,6,37,76,2,2,2,6,9,36,3,3,29,45,18.496240601503757,45.56390977443609,16.69172932330827,0.9022556390977443,0.9022556390977443,4.060150375939849,1.3533834586466165,13.082706766917292,0.4880952380952381,0.696551724137931,0.5,0.4868421052631579,1.0,0.3333333333333333,0.25,1.0,0.6444444444444445,0.3333333333333333,1.0,0.3333333333333333,250.33333333333334,233.66666666666666,40.333333333333336,88.33333333333333,64.0,112.66666666666667,2.3333333333333335,7.0,29.666666666666668,72.0,7.666666666666667,11.333333333333334,3.0,5.0,26.666666666666668,66.33333333333333,2.3333333333333335,4.0,11.333333333333334,18.0,11.837355944099285,21.63299733961478,9.228665900805275,1.7949518772126447,0.8137381660813645,6.408399559403787,0.7261461582491245,4.702810226446373
UFC Fight Night: Brunson vs. Till,Derek Brunson - Darren Till,Darren Till,Middleweight,L,0,26 of 50,28 of 53,0 of 0,0,0,0:04,14 of 38,8 of 8,4 of 4,19 of 42,7 of 8,0 of 0,Submission,"Time:
        
        2:13","Round:
        
        3","Time format:
        
        5 Rnd (5-5-5-5-5)",Herb Dean,1,0,0.0,4,133,26,50,28,53,0,0,14,38,8,8,4,4,19,42,7,8,0,0,11.729323308270676,12.631578947368421,6.315789473684211,3.6090225563909772,1.8045112781954886,8.571428571428571,3.1578947368421053,0.0,0.52,0.5283018867924528,0.0,0.3684210526315789,1.0,1.0,0.4523809523809524,0.875,0.0,0.0,0.0,0.5,13.5,148.0,30.5,60.0,43.0,73.5,0.5,0.5,20.0,47.5,7.0,8.5,3.5,4.0,24.0,51.0,4.0,4.5,2.5,4.5,12.30637944554638,16.99063609945108,7.943170810461737,2.908805756723096,1.454402878361548,9.62313759859772,1.762996448175654,0.920245398773006
UFC Fight Night: Brunson vs. Till,Alex Morono - David Zawada,Alex Morono,Welterweight,W,0,90 of 213,96 of 219,0 of 0,0,0,1:06,81 of 200,8 of 12,1 of 1,84 of 204,6 of 9,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog,9,1,4.0,66,300,90,213,96,219,0,0,81,200,8,12,1,1,84,204,6,9,0,0,18.0,19.2,16.2,1.6,0.2,16.8,1.2,0.0,0.4225352112676056,0.4383561643835616,0.0,0.405,0.6666666666666666,1.0,0.4117647058823529,0.6666666666666666,0.0,0.4,0.2,0.0,36.2,235.6,71.4,172.0,77.6,178.8,0.0,0.8,61.2,157.0,9.6,14.4,0.6,0.6,65.8,162.8,3.2,5.0,2.4,4.2,17.570170126424223,19.287379428749805,15.155929452161697,2.294240674262525,0.12000000000000002,16.181975963789604,0.7460465116279069,0.6421476510067115
UFC Fight Night: Brunson vs. Till,Alex Morono - David Zawada,David Zawada,Welterweight,L,0,86 of 205,91 of 210,1 of 2,0,0,0:39,39 of 150,41 of 48,6 of 7,77 of 187,9 of 18,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog,0,0,0.0,39,300,86,205,91,210,1,2,39,150,41,48,6,7,77,187,9,18,0,0,17.2,18.2,7.8,8.2,1.2,15.4,1.8,0.0,0.4195121951219512,0.43333333333333335,0.5,0.26,0.8541666666666666,0.8571428571428571,0.4117647058823529,0.5,0.0,0.0,0.0,0.0,39.0,300.0,86.0,205.0,91.0,210.0,1.0,2.0,39.0,150.0,41.0,48.0,6.0,7.0,77.0,187.0,9.0,18.0,0.0,0.0,17.2,18.2,7.8,8.2,1.2,15.4,1.8,0.0
UFC Fight Night: Brunson vs. Till,Modestas Bukauskas - Khalil Rountree Jr.,Modestas Bukauskas,Heavyweight,L,0,23 of 49,23 of 49,0 of 0,0,0,0:00,18 of 44,3 of 3,2 of 2,22 of 48,1 of 1,0 of 0,KO/TKO,"Time:
        
        2:30","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Herb Dean,6,0,3.0,0,150,23,49,23,49,0,0,18,44,3,3,2,2,22,48,1,1,0,0,9.2,9.2,7.2,1.2,0.8,8.8,0.4,0.0,0.46938775510204084,0.46938775510204084,0.0,0.4090909090909091,1.0,1.0,0.4583333333333333,1.0,0.0,0.0,0.2,0.0,93.6,201.0,34.0,73.0,41.8,82.8,0.4,0.4,23.6,61.2,6.4,7.4,4.0,4.4,28.8,65.2,3.8,6.2,1.4,1.6,9.929285714285715,12.345714285714285,6.8223809523809535,1.5575,1.549404761904762,8.646785714285715,0.8675,0.41500000000000004
UFC Fight Night: Brunson vs. Till,Modestas Bukauskas - Khalil Rountree Jr.,Khalil Rountree Jr.,Heavyweight,W,1,38 of 92,38 of 92,0 of 0,0,0,0:02,18 of 71,7 of 8,13 of 13,38 of 92,0 of 0,0 of 0,KO/TKO,"Time:
        
        2:30","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Herb Dean,6,1,5.0,2,150,38,92,38,92,0,0,18,71,7,8,13,13,38,92,0,0,0,0,15.2,15.2,7.2,2.8,5.2,15.2,0.0,0.0,0.41304347826086957,0.41304347826086957,0.0,0.2535211267605634,0.875,1.0,0.41304347826086957,0.0,0.0,1.0,0.0,0.0,21.2,138.2,43.6,107.2,44.8,108.8,0.0,0.0,25.6,86.0,9.4,11.6,8.6,9.6,39.4,100.8,2.8,4.0,1.4,2.4,31.477142857142855,32.24,19.05142857142857,6.904999999999999,5.520714285714286,26.15357142857143,3.039285714285714,2.2842857142857143
UFC Fight Night: Brunson vs. Till,Molly McCann - Ji Yeon Kim,Molly McCann,Women's Flyweight,W,0,127 of 272,130 of 275,2 of 3,0,0,0:47,110 of 249,16 of 22,1 of 1,126 of 270,1 of 2,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog,7,1,3.0,47,300,127,272,130,275,2,3,110,249,16,22,1,1,126,270,1,2,0,0,25.4,26.0,22.0,3.2,0.2,25.2,0.2,0.0,0.46691176470588236,0.4727272727272727,0.6666666666666666,0.44176706827309237,0.7272727272727273,1.0,0.4666666666666667,0.5,0.0,0.4,0.0,0.0,66.8,195.2,49.8,102.4,54.2,107.0,0.8,1.2,37.0,86.2,10.8,14.0,2.0,2.2,45.4,96.6,3.4,4.4,1.0,1.4,16.441705898202972,18.32032658785814,11.22085823447723,4.37846233565245,0.8423853280732905,14.428799494262085,1.643448275862069,0.3694581280788177
UFC Fight Night: Brunson vs. Till,Molly McCann - Ji Yeon Kim,Ji Yeon Kim,Women's Flyweight,L,0,122 of 361,134 of 374,0 of 2,0,0,2:35,87 of 316,24 of 33,11 of 12,114 of 349,6 of 10,2 of 2,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog,3,0,0.0,155,300,122,361,134,374,0,2,87,316,24,33,11,12,114,349,6,10,2,2,24.4,26.8,17.4,4.8,2.2,22.8,1.2,0.4,0.3379501385041551,0.3582887700534759,0.0,0.27531645569620256,0.7272727272727273,0.9166666666666666,0.32664756446991405,0.6,1.0,0.0,0.25,0.25,130.75,253.75,95.0,241.25,106.0,253.75,0.0,0.75,69.0,207.5,14.5,20.75,11.5,13.0,89.5,232.5,4.75,7.75,0.75,1.0,19.804347826086953,23.77391304347826,14.202173913043477,3.141304347826087,2.4608695652173913,18.463043478260868,1.1913043478260867,0.15000000000000002
UFC Fight Night: Brunson vs. Till,Paddy Pimblett - Luigi Vendramini,Paddy Pimblett,Lightweight,W,1,47 of 81,47 of 81,0 of 2,0,0,0:10,29 of 62,7 of 8,11 of 11,46 of 80,1 of 1,0 of 0,KO/TKO,"Time:
        
        4:25","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,6,1,5.0,10,265,47,81,47,81,0,2,29,62,7,8,11,11,46,80,1,1,0,0,10.641509433962263,10.641509433962263,6.566037735849056,1.5849056603773584,2.490566037735849,10.415094339622641,0.22641509433962262,0.0,0.5802469135802469,0.5802469135802469,0.0,0.46774193548387094,0.875,1.0,0.575,1.0,0.0,0.4,1.0,0.0,147.0,252.0,47.2,89.2,66.0,110.6,0.6,2.4,30.0,69.8,7.0,9.0,10.2,10.4,34.4,70.8,3.4,5.2,9.4,13.2,10.274422789617727,14.478985319212086,6.617657486665786,1.5015594453284837,2.1552058576234576,7.2769789878803355,0.9435962718799727,2.053847529857421
UFC Fight Night: Brunson vs. Till,Paddy Pimblett - Luigi Vendramini,Luigi Vendramini,Lightweight,L,0,25 of 51,30 of 56,1 of 1,0,0,0:27,14 of 40,4 of 4,7 of 7,21 of 45,3 of 5,1 of 1,KO/TKO,"Time:
        
        4:25","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,0,0,0.0,27,265,25,51,30,56,1,1,14,40,4,4,7,7,21,45,3,5,1,1,5.660377358490566,6.792452830188679,3.1698113207547167,0.9056603773584905,1.5849056603773584,4.754716981132075,0.6792452830188679,0.22641509433962262,0.49019607843137253,0.5357142857142857,1.0,0.35,1.0,1.0,0.4666666666666667,0.6,1.0,0.0,0.0,0.0,27.0,265.0,25.0,51.0,30.0,56.0,1.0,1.0,14.0,40.0,4.0,4.0,7.0,7.0,21.0,45.0,3.0,5.0,1.0,1.0,5.660377358490566,6.792452830188679,3.1698113207547167,0.9056603773584905,1.5849056603773584,4.754716981132075,0.6792452830188679,0.22641509433962262
UFC Fight Night: Brunson vs. Till,Tom Aspinall - Serghei Spivac,Tom Aspinall,Heavyweight,W,1,16 of 26,16 of 26,0 of 0,0,0,0:03,12 of 22,4 of 4,0 of 0,7 of 13,3 of 3,6 of 10,KO/TKO,"Time:
        
        2:30","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,5,1,4.0,3,150,16,26,16,26,0,0,12,22,4,4,0,0,7,13,3,3,6,10,6.4,6.4,4.8,1.6,0.0,2.8,1.2,2.4,0.6153846153846154,0.6153846153846154,0.0,0.5454545454545454,1.0,0.0,0.5384615384615384,1.0,0.6,0.6,0.2,0.0,24.8,106.4,14.2,21.2,15.4,22.6,0.4,0.4,9.4,16.2,2.2,2.4,2.6,2.6,8.0,13.0,0.8,0.8,5.4,7.4,9.102783402819139,9.422783402819139,5.003327377407187,1.5510502283105023,2.5484057971014495,6.181409569188009,0.29333333333333333,2.6280405002977965
UFC Fight Night: Brunson vs. Till,Tom Aspinall - Serghei Spivac,Serghei Spivac,Heavyweight,L,0,0 of 11,0 of 11,0 of 2,0,0,0:00,0 of 11,0 of 0,0 of 0,0 of 11,0 of 0,0 of 0,KO/TKO,"Time:
        
        2:30","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,7,0,3.0,0,150,0,11,0,11,0,2,0,11,0,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,126.4,183.4,14.0,30.4,30.0,51.6,3.0,4.6,13.2,29.2,0.4,0.6,0.4,0.6,4.0,16.0,0.0,0.0,10.0,14.4,4.386741994094935,9.073069498069497,4.1724562798092215,0.10714285714285716,0.10714285714285714,1.0757722007722008,0.0,3.3109697933227347
UFC Fight Night: Brunson vs. Till,Julian Erosa - Charles Jourdain,Julian Erosa,Catchweight,W,0,103 of 214,106 of 217,2 of 5,1,0,2:35,66 of 168,29 of 38,8 of 8,80 of 187,22 of 26,1 of 1,Submission,"Time:
        
        2:56","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog,8,1,3.0,155,176,103,214,106,217,2,5,66,168,29,38,8,8,80,187,22,26,1,1,35.11363636363637,36.13636363636364,22.5,9.886363636363637,2.7272727272727275,27.272727272727273,7.500000000000001,0.34090909090909094,0.48130841121495327,0.48847926267281105,0.4,0.39285714285714285,0.7631578947368421,1.0,0.42780748663101603,0.8461538461538461,1.0,0.0,0.2,0.0,105.8,212.2,75.0,147.8,89.2,164.0,1.4,3.4,51.4,117.6,18.2,23.6,5.4,6.6,61.0,130.4,11.0,14.4,3.0,3.0,19.337079403592533,22.26162485813799,12.899741713301765,4.61173678237389,1.8256009079168785,15.888897585410714,2.8200000000000003,0.6281818181818182
UFC Fight Night: Brunson vs. Till,Julian Erosa - Charles Jourdain,Charles Jourdain,Catchweight,L,1,85 of 163,103 of 181,0 of 0,0,0,0:02,50 of 118,21 of 30,14 of 15,64 of 129,20 of 32,1 of 2,Submission,"Time:
        
        2:56","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog,9,0,2.0,2,176,85,163,103,181,0,0,50,118,21,30,14,15,64,129,20,32,1,2,28.97727272727273,35.11363636363637,17.045454545454547,7.159090909090909,4.772727272727273,21.81818181818182,6.818181818181818,0.34090909090909094,0.5214723926380368,0.569060773480663,0.0,0.423728813559322,0.7,0.9333333333333333,0.49612403100775193,0.625,0.5,0.2,0.2,0.0,64.0,245.6,85.0,157.8,106.8,181.6,0.2,1.0,50.0,116.2,24.4,29.2,10.6,12.4,57.0,121.8,23.6,30.2,4.4,5.8,19.551244019138757,24.45746411483254,11.486985645933014,5.549712918660287,2.5145454545454546,13.320478468899523,5.322583732057415,0.9081818181818182
UFC Fight Night: Brunson vs. Till,Jack Shore - Liudvik Sholinian,Jack Shore,Bantamweight,W,0,92 of 155,104 of 168,2 of 8,1,0,4:28,59 of 116,11 of 14,22 of 25,80 of 138,8 of 12,4 of 5,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,5,1,3.0,268,300,92,155,104,168,2,8,59,116,11,14,22,25,80,138,8,12,4,5,18.4,20.8,11.8,2.2,4.4,16.0,1.6,0.8,0.5935483870967742,0.6190476190476191,0.25,0.5086206896551724,0.7857142857142857,0.88,0.5797101449275363,0.6666666666666666,0.8,0.4,0.4,0.0,149.2,258.0,46.6,78.4,58.8,91.8,1.2,4.2,31.8,61.8,8.2,9.2,6.6,7.4,36.6,66.6,6.2,7.6,3.8,4.2,10.174115696166911,12.950396775944203,6.992115736367109,1.841242186086712,1.3407577737130913,7.887672810596771,1.506667604671263,0.7797752808988765
UFC Fight Night: Brunson vs. Till,Jack Shore - Liudvik Sholinian,Liudvik Sholinian,Bantamweight,L,0,19 of 92,33 of 108,0 of 4,0,0,1:26,13 of 85,6 of 7,0 of 0,16 of 89,2 of 2,1 of 1,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,1,0,0.0,86,300,19,92,33,108,0,4,13,85,6,7,0,0,16,89,2,2,1,1,3.8,6.6,2.6,1.2,0.0,3.2,0.4,0.2,0.20652173913043478,0.3055555555555556,0.0,0.15294117647058825,0.8571428571428571,0.0,0.1797752808988764,1.0,1.0,0.0,0.0,0.0,88.0,300.0,37.5,122.0,51.5,137.0,0.0,3.0,27.5,111.0,9.0,10.0,1.0,1.0,31.0,115.5,4.5,4.5,2.0,2.0,7.5,10.3,5.5,1.7999999999999998,0.2,6.199999999999999,0.8999999999999999,0.4
UFC Fight Night: Barboza vs. Chikadze,Jamall Emmers - Pat Sabatini,Jamall Emmers,Featherweight,L,0,10 of 14,12 of 17,0 of 0,1,0,0:49,3 of 7,6 of 6,1 of 1,8 of 12,0 of 0,2 of 2,Submission,"Time:
        
        1:53","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,5,0,2.0,49,113,10,14,12,17,0,0,3,7,6,6,1,1,8,12,0,0,2,2,5.3097345132743365,6.371681415929204,1.592920353982301,3.185840707964602,0.5309734513274337,4.247787610619469,0.0,1.0619469026548674,0.7142857142857143,0.7058823529411765,0.0,0.42857142857142855,1.0,1.0,0.6666666666666666,0.0,1.0,0.2,0.2,0.4,119.0,209.0,36.4,82.2,44.0,94.0,0.4,1.8,17.6,51.6,11.4,18.2,7.4,12.4,29.8,73.0,2.8,3.8,3.8,5.4,10.90422857857612,12.556617959107092,5.4154355887888155,3.1182008090768756,2.3705921807104278,8.62503888074508,0.567208480565371,1.7119812172656672
UFC Fight Night: Barboza vs. Chikadze,Jamall Emmers - Pat Sabatini,Pat Sabatini,Featherweight,W,0,1 of 9,1 of 9,0 of 1,2,0,0:00,1 of 9,0 of 0,0 of 0,1 of 9,0 of 0,0 of 0,Submission,"Time:
        
        1:53","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,7,1,4.0,0,113,1,9,1,9,0,1,1,9,0,0,0,0,1,9,0,0,0,0,0.5309734513274337,0.5309734513274337,0.5309734513274337,0.0,0.0,0.5309734513274337,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,1.2,0.2,304.2,178.0,16.2,26.8,65.0,80.6,2.6,5.2,13.0,23.2,2.0,2.4,1.2,1.2,5.6,11.6,1.0,1.2,9.6,14.0,5.360107733743748,19.45788551152153,4.577885511521526,0.47111111111111115,0.31111111111111117,1.3912188448548588,0.34222222222222226,3.6266666666666665
