Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee
UFC Fight Night: Assuncao vs. Moraes 2,Ricardo Ramos - Said Nurmagomedov,Said Nurmagomedov,Bantamweight Bout,W,1,17 of 24,17 of 24,0 of 0,0,0,0:05,6 of 13,6 of 6,5 of 5,12 of 19,5 of 5,0 of 0,KO/TKO,"Time:
        
        2:28","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Joao Claudio Soares
UFC Fight Night: Assuncao vs. Moraes 2,Thiago Alves - Max Griffin,Thiago Alves,Welterweight Bout,W,0,83 of 135,91 of 143,0 of 1,0,0,1:13,45 of 90,16 of 21,22 of 24,68 of 120,15 of 15,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Assuncao vs. Moraes 2,Thiago Alves - Max Griffin,Max Griffin,Welterweight Bout,L,1,112 of 154,117 of 159,2 of 4,0,1,3:38,77 of 115,35 of 39,0 of 0,76 of 108,36 of 44,0 of 2,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Cejudo vs. Dillashaw,Gregor Gillespie - Yancy Medeiros,Gregor Gillespie,Lightweight Bout,W,0,51 of 71,73 of 95,6 of 11,0,1,8:48,38 of 58,10 of 10,3 of 3,1 of 11,6 of 9,44 of 51,KO/TKO,"Time:
        
        4:59","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Todd Ronald Anderson
UFC Fight Night: Cejudo vs. Dillashaw,Gregor Gillespie - Yancy Medeiros,Yancy Medeiros,Lightweight Bout,L,0,1 of 12,1 of 12,0 of 0,0,1,0:07,1 of 11,0 of 1,0 of 0,1 of 11,0 of 0,0 of 1,KO/TKO,"Time:
        
        4:59","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Todd Ronald Anderson
UFC Fight Night: Cejudo vs. Dillashaw,Cory Sandhagen - Mario Bautista,Cory Sandhagen,Bantamweight Bout,W,1,17 of 54,17 of 55,1 of 2,2,0,0:39,9 of 43,2 of 3,6 of 8,13 of 47,0 of 0,4 of 7,Submission,"Time:
        
        3:31","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Kevin MacDonald
UFC Fight Night: Cejudo vs. Dillashaw,Cory Sandhagen - Mario Bautista,Mario Bautista,Bantamweight Bout,L,0,9 of 30,10 of 32,1 of 1,0,0,0:54,4 of 22,3 of 4,2 of 4,9 of 29,0 of 1,0 of 0,Submission,"Time:
        
        3:31","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Kevin MacDonald
UFC Fight Night: Cejudo vs. Dillashaw,Paige VanZant - Rachael Ostovich,Paige VanZant,Women's Flyweight Bout,W,0,17 of 27,38 of 56,0 of 1,2,0,4:32,13 of 23,1 of 1,3 of 3,5 of 13,0 of 0,12 of 14,Submission,"Time:
        
        1:50","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Kevin MacDonald
UFC Fight Night: Cejudo vs. Dillashaw,Paige VanZant - Rachael Ostovich,Rachael Ostovich,Women's Flyweight Bout,L,0,10 of 14,13 of 18,4 of 4,0,0,0:51,7 of 11,2 of 2,1 of 1,8 of 11,0 of 0,2 of 3,Submission,"Time:
        
        1:50","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Kevin MacDonald
UFC Fight Night: Cejudo vs. Dillashaw,Henry Cejudo - TJ Dillashaw,Henry Cejudo,UFC Flyweight Title Bout,W,1,18 of 23,18 of 23,0 of 0,0,0,0:00,17 of 22,1 of 1,0 of 0,3 of 6,0 of 0,15 of 17,KO/TKO,"Time:
        
        0:32","Round:
        
        1","Time format:
        
        5 Rnd (5-5-5-5-5)",Kevin MacDonald
UFC Fight Night: Cejudo vs. Dillashaw,Henry Cejudo - TJ Dillashaw,TJ Dillashaw,UFC Flyweight Title Bout,L,0,1 of 3,1 of 3,0 of 0,0,0,0:09,0 of 1,0 of 0,1 of 2,1 of 3,0 of 0,0 of 0,KO/TKO,"Time:
        
        0:32","Round:
        
        1","Time format:
        
        5 Rnd (5-5-5-5-5)",Kevin MacDonald
UFC Fight Night: Cejudo vs. Dillashaw,Greg Hardy - Allen Crowder,Greg Hardy,Heavyweight Bout,L,0,29 of 64,35 of 70,0 of 0,0,0,1:16,21 of 56,5 of 5,3 of 3,17 of 51,6 of 7,6 of 6,DQ,"Time:
        
        2:28","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Dan Miragliotta
UFC Fight Night: Cejudo vs. Dillashaw,Greg Hardy - Allen Crowder,Allen Crowder,Heavyweight Bout,W,0,12 of 30,16 of 34,1 of 3,1,0,2:22,12 of 30,0 of 0,0 of 0,8 of 25,1 of 2,3 of 3,DQ,"Time:
        
        2:28","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Dan Miragliotta
UFC Fight Night: Cejudo vs. Dillashaw,Dennis Bermudez - Te Edwards,Dennis Bermudez,Lightweight Bout,W,0,63 of 122,83 of 147,5 of 9,2,0,0:42,42 of 96,12 of 13,9 of 13,27 of 64,3 of 10,33 of 48,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Blake Grice
UFC Fight Night: Cejudo vs. Dillashaw,Dennis Bermudez - Te Edwards,Te Edwards,Lightweight Bout,L,1,23 of 56,24 of 57,0 of 0,0,0,8:42,16 of 46,3 of 5,4 of 5,15 of 41,4 of 4,4 of 11,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Blake Grice
UFC Fight Night: Cejudo vs. Dillashaw,Joanne Wood - Ariane da Silva,Joanne Wood,Women's Flyweight Bout,W,0,85 of 172,121 of 213,1 of 3,2,1,4:36,47 of 117,18 of 32,20 of 23,57 of 136,14 of 19,14 of 17,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Blake Grice
UFC Fight Night: Cejudo vs. Dillashaw,Joanne Wood - Ariane da Silva,Ariane da Silva,Women's Flyweight Bout,L,0,53 of 154,69 of 171,1 of 1,0,0,3:18,29 of 115,19 of 26,5 of 13,42 of 140,10 of 13,1 of 1,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Blake Grice
UFC Fight Night: Cejudo vs. Dillashaw,Glover Teixeira - Karl Roberson,Glover Teixeira,Light Heavyweight Bout,W,0,6 of 11,20 of 26,1 of 3,1,0,1:46,6 of 11,0 of 0,0 of 0,0 of 3,0 of 0,6 of 8,Submission,"Time:
        
        3:21","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Dan Miragliotta
UFC Fight Night: Cejudo vs. Dillashaw,Glover Teixeira - Karl Roberson,Karl Roberson,Light Heavyweight Bout,L,1,24 of 30,29 of 35,0 of 0,0,0,0:42,22 of 28,2 of 2,0 of 0,1 of 3,6 of 6,17 of 21,Submission,"Time:
        
        3:21","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Dan Miragliotta
UFC Fight Night: Cejudo vs. Dillashaw,Joseph Benavidez - Dustin Ortiz,Joseph Benavidez,Flyweight Bout,W,1,21 of 50,37 of 72,7 of 12,0,2,6:50,7 of 30,6 of 8,8 of 12,20 of 44,0 of 2,1 of 4,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Blake Grice
UFC Fight Night: Cejudo vs. Dillashaw,Joseph Benavidez - Dustin Ortiz,Dustin Ortiz,Flyweight Bout,L,0,49 of 87,93 of 136,3 of 8,0,1,3:03,21 of 54,28 of 32,0 of 1,20 of 55,22 of 23,7 of 9,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Blake Grice
UFC Fight Night: Cejudo vs. Dillashaw,Alexander Hernandez - Donald Cerrone,Alexander Hernandez,Lightweight Bout,L,0,49 of 105,54 of 110,0 of 2,0,0,0:22,20 of 59,25 of 42,4 of 4,32 of 82,17 of 23,0 of 0,KO/TKO,"Time:
        
        3:43","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Todd Ronald Anderson
UFC Fight Night: Cejudo vs. Dillashaw,Alexander Hernandez - Donald Cerrone,Donald Cerrone,Lightweight Bout,W,1,80 of 162,81 of 163,1 of 1,0,0,0:29,58 of 136,18 of 22,4 of 4,52 of 124,14 of 22,14 of 16,KO/TKO,"Time:
        
        3:43","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Todd Ronald Anderson
UFC Fight Night: Cejudo vs. Dillashaw,Alonzo Menifield - Vinicius Moreira,Alonzo Menifield,Light Heavyweight Bout,W,1,33 of 60,35 of 62,0 of 0,0,0,0:29,32 of 59,0 of 0,1 of 1,24 of 46,0 of 0,9 of 14,KO/TKO,"Time:
        
        3:56","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Dan Miragliotta
UFC Fight Night: Cejudo vs. Dillashaw,Alonzo Menifield - Vinicius Moreira,Vinicius Moreira,Light Heavyweight Bout,L,0,11 of 21,12 of 22,0 of 4,0,0,1:20,0 of 6,6 of 9,5 of 6,8 of 16,3 of 5,0 of 0,KO/TKO,"Time:
        
        3:56","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Dan Miragliotta
UFC Fight Night: Cejudo vs. Dillashaw,Belal Muhammad - Geoff Neal,Belal Muhammad,Welterweight Bout,L,0,63 of 204,64 of 205,0 of 7,0,0,0:23,39 of 163,18 of 34,6 of 7,59 of 193,4 of 11,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Todd Ronald Anderson
UFC Fight Night: Cejudo vs. Dillashaw,Belal Muhammad - Geoff Neal,Geoff Neal,Welterweight Bout,W,2,71 of 190,71 of 190,0 of 0,0,0,0:57,61 of 178,8 of 10,2 of 2,55 of 162,11 of 18,5 of 10,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Todd Ronald Anderson
UFC Fight Night: Cejudo vs. Dillashaw,Kyle Stewart - Chance Rencountre,Kyle Stewart,Welterweight Bout,L,0,2 of 11,2 of 11,0 of 0,0,0,0:00,0 of 9,2 of 2,0 of 0,2 of 11,0 of 0,0 of 0,Submission,"Time:
        
        2:25","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Dan Miragliotta
UFC Fight Night: Cejudo vs. Dillashaw,Kyle Stewart - Chance Rencountre,Chance Rencountre,Welterweight Bout,W,0,6 of 9,13 of 22,2 of 3,1,0,1:59,5 of 8,0 of 0,1 of 1,4 of 7,0 of 0,2 of 2,Submission,"Time:
        
        2:25","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Dan Miragliotta
UFC 232: Jones vs. Gustafsson 2,Nathaniel Wood - Andre Ewell,Nathaniel Wood,Bantamweight Bout,W,1,61 of 114,171 of 234,2 of 3,1,0,8:35,32 of 71,16 of 17,13 of 26,28 of 72,4 of 5,29 of 37,Submission,"Time:
        
        4:12","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 232: Jones vs. Gustafsson 2,Nathaniel Wood - Andre Ewell,Andre Ewell,Bantamweight Bout,L,0,15 of 58,18 of 62,0 of 0,0,0,0:00,10 of 43,5 of 15,0 of 0,13 of 54,2 of 4,0 of 0,Submission,"Time:
        
        4:12","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 232: Jones vs. Gustafsson 2,Cristiane Justino - Amanda Nunes,Cristiane Justino,UFC Women's Featherweight Title Bout,L,0,3 of 15,3 of 15,0 of 1,0,0,0:00,1 of 12,2 of 3,0 of 0,3 of 14,0 of 1,0 of 0,KO/TKO,"Time:
        
        0:51","Round:
        
        1","Time format:
        
        5 Rnd (5-5-5-5-5)",Marc Goddard
UFC 232: Jones vs. Gustafsson 2,Cristiane Justino - Amanda Nunes,Amanda Nunes,UFC Women's Featherweight Title Bout,W,2,13 of 21,13 of 21,0 of 0,0,0,0:01,12 of 20,0 of 0,1 of 1,12 of 19,1 of 2,0 of 0,KO/TKO,"Time:
        
        0:51","Round:
        
        1","Time format:
        
        5 Rnd (5-5-5-5-5)",Marc Goddard
UFC 232: Jones vs. Gustafsson 2,Chad Mendes - Alexander Volkanovski,Chad Mendes,Featherweight Bout,L,1,28 of 51,28 of 51,3 of 4,0,0,0:45,16 of 37,6 of 7,6 of 7,24 of 46,4 of 5,0 of 0,KO/TKO,"Time:
        
        4:14","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 232: Jones vs. Gustafsson 2,Chad Mendes - Alexander Volkanovski,Alexander Volkanovski,Featherweight Bout,W,1,54 of 124,54 of 124,0 of 0,0,0,0:08,36 of 91,10 of 19,8 of 14,46 of 113,5 of 8,3 of 3,KO/TKO,"Time:
        
        4:14","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 232: Jones vs. Gustafsson 2,BJ Penn - Ryan Hall,BJ Penn,Lightweight Bout,L,0,3 of 8,8 of 15,0 of 0,0,0,1:34,1 of 5,1 of 1,1 of 2,2 of 5,0 of 0,1 of 3,Submission,"Time:
        
        2:46","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Ed Collantes
UFC 232: Jones vs. Gustafsson 2,BJ Penn - Ryan Hall,Ryan Hall,Lightweight Bout,W,0,6 of 15,8 of 19,0 of 0,1,0,0:00,0 of 7,1 of 2,5 of 6,6 of 14,0 of 1,0 of 0,Submission,"Time:
        
        2:46","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Ed Collantes
UFC 232: Jones vs. Gustafsson 2,Curtis Millender - Siyar Bahadurzada,Curtis Millender,Welterweight Bout,W,0,89 of 165,91 of 167,0 of 0,0,0,0:17,59 of 112,8 of 20,22 of 33,84 of 160,5 of 5,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC 232: Jones vs. Gustafsson 2,Curtis Millender - Siyar Bahadurzada,Siyar Bahadurzada,Welterweight Bout,L,0,40 of 121,65 of 149,3 of 7,0,0,3:14,30 of 98,4 of 14,6 of 9,29 of 104,2 of 5,9 of 12,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC 232: Jones vs. Gustafsson 2,Andrei Arlovski - Walt Harris,Andrei Arlovski,Heavyweight Bout,NC,0,44 of 93,48 of 97,0 of 1,0,0,0:09,20 of 60,11 of 17,13 of 16,43 of 90,1 of 3,0 of 0,Overturned,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC 232: Jones vs. Gustafsson 2,Andrei Arlovski - Walt Harris,Walt Harris,Heavyweight Bout,NC,0,24 of 93,26 of 95,1 of 3,0,0,0:34,13 of 72,11 of 20,0 of 1,21 of 85,3 of 8,0 of 0,Overturned,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC 232: Jones vs. Gustafsson 2,Ilir Latifi - Corey Anderson,Ilir Latifi,Light Heavyweight Bout,L,0,33 of 78,34 of 79,0 of 4,0,0,0:46,23 of 66,3 of 5,7 of 7,23 of 62,10 of 16,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC 232: Jones vs. Gustafsson 2,Ilir Latifi - Corey Anderson,Corey Anderson,Light Heavyweight Bout,W,0,40 of 121,45 of 127,0 of 4,0,0,0:23,24 of 93,11 of 22,5 of 6,38 of 114,2 of 7,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC 232: Jones vs. Gustafsson 2,Carlos Condit - Michael Chiesa,Carlos Condit,Welterweight Bout,L,0,5 of 24,20 of 39,0 of 0,1,1,0:18,2 of 18,2 of 5,1 of 1,2 of 18,2 of 4,1 of 2,Submission,"Time:
        
        0:56","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC 232: Jones vs. Gustafsson 2,Carlos Condit - Michael Chiesa,Michael Chiesa,Welterweight Bout,W,0,10 of 22,16 of 33,4 of 5,1,0,4:12,8 of 20,2 of 2,0 of 0,2 of 8,2 of 2,6 of 12,Submission,"Time:
        
        0:56","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC 232: Jones vs. Gustafsson 2,Cat Zingano - Megan Anderson,Cat Zingano,Women's Featherweight Bout,L,0,3 of 6,3 of 6,0 of 0,0,0,0:00,0 of 1,0 of 0,3 of 5,3 of 6,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:01","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC 232: Jones vs. Gustafsson 2,Cat Zingano - Megan Anderson,Megan Anderson,Women's Featherweight Bout,W,0,3 of 9,3 of 9,0 of 0,0,0,0:00,2 of 8,1 of 1,0 of 0,3 of 9,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:01","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC 232: Jones vs. Gustafsson 2,Brian Kelleher - Montel Jackson,Brian Kelleher,Bantamweight Bout,L,0,6 of 10,6 of 10,0 of 1,0,0,0:05,0 of 3,0 of 1,6 of 6,6 of 10,0 of 0,0 of 0,Submission,"Time:
        
        1:40","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Ed Collantes
UFC 232: Jones vs. Gustafsson 2,Brian Kelleher - Montel Jackson,Montel Jackson,Bantamweight Bout,W,0,10 of 16,16 of 27,0 of 0,1,0,0:16,6 of 11,2 of 3,2 of 2,7 of 12,1 of 1,2 of 3,Submission,"Time:
        
        1:40","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Ed Collantes
UFC 232: Jones vs. Gustafsson 2,Jon Jones - Alexander Gustafsson,Jon Jones,UFC Light Heavyweight Title Bout,W,0,59 of 102,63 of 106,1 of 5,0,0,1:29,26 of 52,15 of 22,18 of 28,40 of 81,7 of 8,12 of 13,KO/TKO,"Time:
        
        2:02","Round:
        
        3","Time format:
        
        5 Rnd (5-5-5-5-5)",Mike Beltran
UFC 232: Jones vs. Gustafsson 2,Jon Jones - Alexander Gustafsson,Alexander Gustafsson,UFC Light Heavyweight Title Bout,L,0,22 of 83,24 of 85,0 of 0,0,0,0:00,12 of 62,4 of 11,6 of 10,19 of 80,3 of 3,0 of 0,KO/TKO,"Time:
        
        2:02","Round:
        
        3","Time format:
        
        5 Rnd (5-5-5-5-5)",Mike Beltran
UFC 232: Jones vs. Gustafsson 2,Uriah Hall - Bevon Lewis,Uriah Hall,Middleweight Bout,W,1,39 of 88,42 of 91,0 of 0,0,0,0:01,13 of 48,5 of 13,21 of 27,39 of 88,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:32","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC 232: Jones vs. Gustafsson 2,Uriah Hall - Bevon Lewis,Bevon Lewis,Middleweight Bout,L,0,68 of 157,77 of 168,0 of 0,0,0,2:09,27 of 100,4 of 9,37 of 48,56 of 139,12 of 18,0 of 0,KO/TKO,"Time:
        
        1:32","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Marc Goddard
UFC 232: Jones vs. Gustafsson 2,Douglas Silva de Andrade - Petr Yan,Douglas Silva de Andrade,Bantamweight Bout,L,0,28 of 77,28 of 77,0 of 1,0,0,0:00,13 of 44,10 of 20,5 of 13,26 of 75,2 of 2,0 of 0,KO/TKO,"Time:
        
        5:00","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC 232: Jones vs. Gustafsson 2,Douglas Silva de Andrade - Petr Yan,Petr Yan,Bantamweight Bout,W,0,76 of 118,101 of 145,3 of 4,1,0,3:37,49 of 86,23 of 27,4 of 5,42 of 78,8 of 8,26 of 32,KO/TKO,"Time:
        
        5:00","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Lee vs. Iaquinta,Chris de la Rocha - Juan Adams,Chris de la Rocha,Heavyweight Bout,L,0,41 of 76,46 of 81,1 of 2,0,0,0:59,30 of 64,10 of 11,1 of 1,36 of 67,3 of 7,2 of 2,KO/TKO,"Time:
        
        0:58","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Joe Fipp
UFC Fight Night: Lee vs. Iaquinta,Chris de la Rocha - Juan Adams,Juan Adams,Heavyweight Bout,W,0,86 of 144,121 of 180,2 of 2,0,0,4:36,74 of 131,8 of 8,4 of 5,38 of 85,13 of 15,35 of 44,KO/TKO,"Time:
        
        0:58","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Joe Fipp
UFC Fight Night: Lee vs. Iaquinta,King Green - Drakkar Klose,King Green,Lightweight Bout,L,0,92 of 154,110 of 176,1 of 4,1,0,3:41,39 of 91,27 of 31,26 of 32,69 of 126,13 of 15,10 of 13,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Keith Peterson
UFC Fight Night: Lee vs. Iaquinta,King Green - Drakkar Klose,Drakkar Klose,Lightweight Bout,W,0,58 of 131,69 of 143,0 of 6,0,0,0:55,26 of 89,12 of 16,20 of 26,45 of 114,9 of 11,4 of 6,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Keith Peterson
UFC Fight Night: Lee vs. Iaquinta,Dan Ige - Jordan Griffin,Dan Ige,Featherweight Bout,W,0,56 of 107,86 of 144,3 of 7,0,1,6:53,46 of 95,7 of 8,3 of 4,20 of 53,4 of 4,32 of 50,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Joe Fipp
UFC Fight Night: Lee vs. Iaquinta,Dan Ige - Jordan Griffin,Jordan Griffin,Featherweight Bout,L,0,56 of 107,71 of 123,0 of 2,1,1,4:00,49 of 100,7 of 7,0 of 0,31 of 65,4 of 4,21 of 38,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Joe Fipp
UFC Fight Night: Lee vs. Iaquinta,Zak Ottow - Dwight Grant,Zak Ottow,Welterweight Bout,W,0,14 of 71,22 of 82,1 of 6,0,0,2:54,5 of 53,7 of 14,2 of 4,11 of 67,2 of 3,1 of 1,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds
UFC Fight Night: Lee vs. Iaquinta,Zak Ottow - Dwight Grant,Dwight Grant,Welterweight Bout,L,0,25 of 84,33 of 93,1 of 1,0,0,0:20,15 of 71,7 of 9,3 of 4,19 of 77,5 of 6,1 of 1,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds
UFC Fight Night: Lee vs. Iaquinta,Trevor Smith - Zak Cummings,Trevor Smith,Middleweight Bout,L,0,54 of 103,73 of 128,0 of 0,0,1,2:06,42 of 85,11 of 14,1 of 4,41 of 81,5 of 9,8 of 13,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Keith Peterson
UFC Fight Night: Lee vs. Iaquinta,Trevor Smith - Zak Cummings,Zak Cummings,Middleweight Bout,W,1,56 of 139,63 of 147,0 of 5,0,0,2:05,30 of 108,9 of 11,17 of 20,48 of 128,4 of 7,4 of 4,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Keith Peterson
UFC Fight Night: Lee vs. Iaquinta,Adam Milstead - Mike Rodriguez,Adam Milstead,Light Heavyweight Bout,L,0,10 of 21,22 of 34,0 of 0,0,0,0:00,5 of 16,2 of 2,3 of 3,9 of 20,0 of 0,1 of 1,KO/TKO,"Time:
        
        2:59","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds
UFC Fight Night: Lee vs. Iaquinta,Adam Milstead - Mike Rodriguez,Mike Rodriguez,Light Heavyweight Bout,W,2,35 of 42,44 of 53,0 of 0,0,0,1:52,25 of 30,8 of 10,2 of 2,16 of 23,5 of 5,14 of 14,KO/TKO,"Time:
        
        2:59","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds
UFC Fight Night: Lee vs. Iaquinta,Kevin Lee - Al Iaquinta,Kevin Lee,Lightweight Bout,L,0,102 of 296,121 of 319,3 of 5,0,0,5:25,80 of 267,14 of 21,8 of 8,81 of 273,1 of 1,20 of 22,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Keith Peterson
UFC Fight Night: Lee vs. Iaquinta,Kevin Lee - Al Iaquinta,Al Iaquinta,Lightweight Bout,W,0,111 of 228,113 of 230,0 of 7,0,0,0:14,82 of 189,19 of 28,10 of 11,110 of 226,0 of 0,1 of 2,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        5","Time format:
        
        5 Rnd (5-5-5-5-5)",Keith Peterson
UFC Fight Night: Lee vs. Iaquinta,Gerald Meerschaert - Jack Hermansson,Gerald Meerschaert,Middleweight Bout,L,0,1 of 2,1 of 2,0 of 2,0,1,0:15,0 of 1,1 of 1,0 of 0,0 of 1,1 of 1,0 of 0,Submission,"Time:
        
        4:25","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Robert Madrigal
UFC Fight Night: Lee vs. Iaquinta,Gerald Meerschaert - Jack Hermansson,Jack Hermansson,Middleweight Bout,W,0,41 of 59,53 of 73,1 of 2,1,0,3:58,37 of 54,3 of 4,1 of 1,1 of 1,2 of 3,38 of 55,Submission,"Time:
        
        4:25","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Robert Madrigal
UFC Fight Night: Lee vs. Iaquinta,Jared Gordon - Joaquim Silva,Jared Gordon,Lightweight Bout,L,0,116 of 194,149 of 228,3 of 8,0,0,4:25,94 of 166,10 of 15,12 of 13,88 of 163,13 of 15,15 of 16,KO/TKO,"Time:
        
        2:39","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds
UFC Fight Night: Lee vs. Iaquinta,Jared Gordon - Joaquim Silva,Joaquim Silva,Lightweight Bout,W,0,95 of 191,121 of 218,1 of 1,2,0,0:39,54 of 138,30 of 42,11 of 11,78 of 172,15 of 17,2 of 2,KO/TKO,"Time:
        
        2:39","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Rob Hinds
UFC Fight Night: Lee vs. Iaquinta,Rob Font - Sergio Pettis,Rob Font,Bantamweight Bout,W,0,111 of 247,118 of 255,2 of 4,1,1,4:51,79 of 212,25 of 28,7 of 7,102 of 227,1 of 1,8 of 19,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Robert Madrigal
UFC Fight Night: Lee vs. Iaquinta,Rob Font - Sergio Pettis,Sergio Pettis,Bantamweight Bout,L,0,71 of 185,88 of 206,1 of 2,0,0,0:16,53 of 165,7 of 9,11 of 11,71 of 183,0 of 0,0 of 2,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Robert Madrigal
