Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee
UFC Fight Night: Taira vs. Park,Karol Rosa - Nora Cornolle,Karol Rosa,Women's Bantamweight Bout,W,0,33 of 58,190 of 224,2 of 3,2,0,11:25,25 of 47,6 of 8,2 of 3,14 of 35,6 of 6,13 of 17,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Karol Rosa - Nora Cornolle,Nora Cornolle,Women's Bantamweight Bout,L,0,27 of 47,75 of 98,0 of 0,0,0,0:00,15 of 33,4 of 4,8 of 10,17 of 36,10 of 11,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Rafael Estevam - Felipe Bunes,Rafael Estevam,Flyweight Bout,W,0,33 of 70,128 of 204,5 of 9,0,0,10:42,22 of 50,5 of 14,6 of 6,25 of 57,1 of 1,7 of 12,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Rafael Estevam - Felipe Bunes,Felipe Bunes,Flyweight Bout,L,0,26 of 56,38 of 75,0 of 1,2,0,0:03,15 of 39,5 of 11,6 of 6,25 of 54,1 of 2,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Austin Bashi - John Yannis,Austin Bashi,Featherweight Bout,W,0,2 of 7,48 of 67,1 of 1,1,0,2:53,2 of 7,0 of 0,0 of 0,2 of 6,0 of 0,0 of 1,Submission,"Time:
        
        3:39","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Taira vs. Park,Austin Bashi - John Yannis,John Yannis,Featherweight Bout,L,0,0 of 5,2 of 9,0 of 0,0,0,0:00,0 of 4,0 of 1,0 of 0,0 of 5,0 of 0,0 of 0,Submission,"Time:
        
        3:39","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Taira vs. Park,Piera Rodriguez - Ketlen Souza,Piera Rodriguez,Women's Strawweight Bout,W,0,64 of 150,81 of 171,7 of 10,0,0,4:36,28 of 92,23 of 37,13 of 21,48 of 126,16 of 24,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Taira vs. Park,Piera Rodriguez - Ketlen Souza,Ketlen Souza,Women's Strawweight Bout,L,0,56 of 103,86 of 139,0 of 3,0,0,1:41,29 of 72,10 of 13,17 of 18,48 of 92,8 of 11,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Taira vs. Park,Rodolfo Vieira - Tresean Gore,Rodolfo Vieira,Middleweight Bout,W,0,89 of 159,96 of 169,1 of 14,0,0,3:14,51 of 118,22 of 25,16 of 16,87 of 155,2 of 4,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Taira vs. Park,Rodolfo Vieira - Tresean Gore,Tresean Gore,Middleweight Bout,L,0,41 of 114,50 of 125,0 of 0,0,0,0:02,22 of 88,4 of 10,15 of 16,41 of 114,0 of 0,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Taira vs. Park,Nick Klein - Andrey Pulyaev,Nick Klein,Middleweight Bout,L,0,10 of 21,19 of 33,4 of 7,1,0,4:45,5 of 13,5 of 8,0 of 0,3 of 11,7 of 10,0 of 0,KO/TKO,"Time:
        
        1:31","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Taira vs. Park,Nick Klein - Andrey Pulyaev,Andrey Pulyaev,Middleweight Bout,W,1,23 of 31,30 of 38,0 of 0,0,0,0:02,15 of 22,8 of 9,0 of 0,12 of 18,9 of 11,2 of 2,KO/TKO,"Time:
        
        1:31","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Taira vs. Park,Rinya Nakamura - Nathan Fletcher,Rinya Nakamura,Bantamweight Bout,W,1,12 of 19,12 of 19,0 of 0,0,0,0:02,6 of 13,4 of 4,2 of 2,8 of 15,0 of 0,4 of 4,KO/TKO,"Time:
        
        1:02","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Rinya Nakamura - Nathan Fletcher,Nathan Fletcher,Bantamweight Bout,L,0,3 of 7,3 of 7,0 of 0,0,0,0:00,0 of 1,1 of 1,2 of 5,3 of 7,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:02","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Tatsuro Taira - HyunSung Park,Tatsuro Taira,Flyweight Bout,W,1,7 of 11,13 of 20,4 of 5,1,0,4:41,6 of 10,0 of 0,1 of 1,4 of 7,0 of 0,3 of 4,Submission,"Time:
        
        1:06","Round:
        
        2","Time format:
        
        5 Rnd (5-5-5-5-5)",Mark Smith
UFC Fight Night: Taira vs. Park,Tatsuro Taira - HyunSung Park,HyunSung Park,Flyweight Bout,L,0,3 of 9,15 of 21,0 of 0,0,0,0:00,1 of 6,0 of 0,2 of 3,2 of 7,0 of 1,1 of 1,Submission,"Time:
        
        1:06","Round:
        
        2","Time format:
        
        5 Rnd (5-5-5-5-5)",Mark Smith
UFC Fight Night: Taira vs. Park,Elves Brener - Esteban Ribovics,Elves Brener,Lightweight Bout,L,0,118 of 250,123 of 256,0 of 9,0,0,0:00,88 of 211,15 of 23,15 of 16,118 of 248,0 of 2,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Taira vs. Park,Elves Brener - Esteban Ribovics,Esteban Ribovics,Lightweight Bout,W,0,122 of 281,123 of 284,0 of 0,0,0,1:02,86 of 233,23 of 29,13 of 19,114 of 268,0 of 0,8 of 13,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Taira vs. Park,Danny Silva - Kevin Vallejos,Danny Silva,Featherweight Bout,L,0,69 of 164,73 of 168,1 of 9,0,0,0:22,51 of 135,12 of 17,6 of 12,68 of 160,1 of 4,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Taira vs. Park,Danny Silva - Kevin Vallejos,Kevin Vallejos,Featherweight Bout,W,0,90 of 229,90 of 230,2 of 5,0,0,1:14,60 of 184,27 of 41,3 of 4,81 of 217,9 of 12,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Taira vs. Park,Mateusz Rebecki - Chris Duncan,Mateusz Rebecki,Lightweight Bout,L,0,114 of 267,123 of 278,2 of 6,0,0,1:23,88 of 235,7 of 13,19 of 19,104 of 256,10 of 11,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Mateusz Rebecki - Chris Duncan,Chris Duncan,Lightweight Bout,W,0,92 of 222,95 of 225,0 of 1,0,0,0:27,67 of 181,20 of 35,5 of 6,85 of 214,7 of 8,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Whittaker vs. De Ridder,Davey Grant - Da'Mon Blackshear,Davey Grant,Bantamweight Bout,W,0,66 of 130,66 of 133,0 of 0,0,0,0:19,17 of 67,27 of 39,22 of 24,65 of 128,1 of 1,0 of 1,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
UFC Fight Night: Whittaker vs. De Ridder,Davey Grant - Da'Mon Blackshear,Da'Mon Blackshear,Bantamweight Bout,L,0,33 of 74,36 of 78,1 of 5,1,0,3:52,12 of 45,7 of 13,14 of 16,31 of 72,1 of 1,1 of 1,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Jason Herzog
