KD,Sub. Att,Reversal,Rounds,landed_sig. str.,atmp_sig. str.,landed_total str.,atmp_total str.,landed_td,atmp_td,landed_head,atmp_head,landed_body,atmp_body,landed_leg,atmp_leg,landed_distance,atmp_distance,landed_clinch,atmp_clinch,landed_ground,atmp_ground,Control Time Sec,Total_fight_length_sec,Sig_Str_Acc,Sig_Str_LpM,Total_Str_Acc,Total_Str_LpM,Head_Str_Acc,Head_Str_LpM,Body_Str_Acc,Body_Str_LpM,Leg_Str_Acc,Leg_Str_LpM,Distance_Str_Acc,Distance_Str_LpM,Clinch_Str_Acc,Clinch_Str_LpM,Ground_Str_Acc,Ground_Str_LpM,TD_Avg.,TD_Acc.,TD_Def.,Control_Ratio,height_cm,reach_cm,stance,age_at_fight_days,fighter
0.0,0.6,0.2,2.8,49.4,123.2,65.8,148.8,0.4,1.8,33.2,99.6,7.0,9.8,8.4,12.2,36.2,101.0,2.0,4.8,9.0,13.0,198.0,709.2,0.43808641125451475,3.8614505494505496,0.46535866677354043,5.929142857142857,0.373550338068818,2.764161172161172,0.7530769230769231,0.4946227106227107,0.651131221719457,0.6026666666666667,0.38022511870061776,2.479736263736264,0.47380952380952374,0.13131135531135532,0.41235137533274174,1.2504029304029305,0.05333333333333333,0.26666666666666666,0.6,0.25623345543345544,187.96,193.04,1.0,12914.6,Roman Dolidze
0.0,0.6,0.0,1.8,33.8,70.6,49.4,88.0,0.4,1.4,17.4,52.4,7.8,10.6,9.4,11.6,27.6,63.4,3.2,4.0,1.6,2.2,63.6,470.6,0.5016193574501084,4.500521878763548,0.5775964195626134,5.913603639769838,0.3590420474141404,2.299933092466212,0.7533333333333333,1.1472554529640038,0.500164435048156,0.96,0.4549190200410916,3.703281731392777,0.4800000000000001,0.46188679245283026,0.25555555555555554,0.16880503144654088,0.026666666666666665,0.08,0.8,0.1425792408225166,190.5,200.66,1.0,11426.0,Kevin Holland
0.2,0.6,0.4,1.6,19.2,54.6,20.8,56.6,0.4,1.4,13.0,45.4,4.2,7.2,2.0,2.0,16.2,50.6,0.6,0.6,2.4,3.4,65.2,357.8,0.4170757106670419,3.761641355534441,0.4308572948455917,3.9226090974699246,0.36045683219733854,2.663697917477921,0.7017391304347826,0.7169247623349585,0.6,0.381018675721562,0.3885660356096462,3.3398212904264213,0.4,0.10343296833382658,0.5384615384615385,0.3183870967741935,0.07923941994672981,0.16666666666666666,0.6,0.14500333674276447,193.04,200.66,1.0,11729.2,Ryan Spann
0.2,0.0,0.0,2.0,37.2,76.2,45.6,83.2,0.2,1.8,18.6,52.8,11.4,16.0,5.6,6.8,33.8,72.6,2.2,2.6,0.2,0.2,19.2,482.8,0.5067184265010352,4.101909668056743,0.5133118330944418,4.243500991947719,0.3348964252646103,1.9085880895744967,0.5029729959962518,0.986311899482631,0.819047619047619,0.9248388313196676,0.489625850340136,3.6153613445853425,0.16923076923076924,0.14666666666666667,0.2,0.013333333333333332,0.02660753880266075,0.04,1.0,0.04291150270354378,190.5,200.66,2.0,13648.8,Ovince Saint Preux
0.0,0.0,0.0,3.0,41.6,89.4,68.8,116.4,0.0,0.2,28.4,72.8,9.6,12.8,5.6,5.8,35.0,82.0,5.6,7.2,0.6,1.0,20.4,806.6,0.5362855587808418,3.256643354308385,0.6453772951377891,4.795936789511867,0.436352164114261,2.1428632614839165,0.7936507936507937,0.7682485073109134,0.7894736842105263,0.34553158551355484,0.5116026385005401,2.748023418186387,0.7101754385964912,0.3751364896080914,0.3,0.05360178970917225,0.0,0.0,0.2,0.020203000150761347,182.88,190.5,1.0,13719.2,Stephen Thompson
0.6,0.0,0.2,2.6,53.8,129.0,67.0,144.4,2.4,3.6,37.6,105.4,12.4,18.2,3.8,5.0,29.0,87.4,1.4,3.6,11.4,18.6,159.2,717.8,0.4030438490400198,4.497058960409811,0.44640080228128437,5.5337662657402,0.3337218062106394,3.128035146963043,0.6680392156862744,0.9926705036900538,0.7888888888888889,0.3763533097567152,0.3207338336161273,2.4584400556651973,0.15555555555555556,0.10807779285391225,0.4400062201948994,1.3614998665461722,0.18837214419303971,0.5476190476190476,0.95,0.2013299812320203,177.8,193.04,2.0,10878.2,Joaquin Buckley
0.4,0.2,0.0,3.4,71.4,141.4,87.0,160.0,0.2,0.6,44.0,106.6,19.8,24.6,7.6,8.2,63.2,133.6,2.4,3.0,2.8,3.4,112.2,900.0,0.5204781405098713,4.421333333333333,0.5517480628874329,5.287999999999999,0.4028363787375415,2.682666666666667,0.8017459703417151,1.2853333333333332,0.9380952380952381,0.4533333333333333,0.5050364785483651,4.0334516765286,0.6166666666666666,0.14933333333333335,0.55,0.13866666666666666,0.013333333333333332,0.1,0.8,0.09613333333333333,170.18,177.8,1.0,13272.4,Jose Aldo
0.0,1.0,0.0,2.2,54.6,114.8,72.8,136.6,1.2,5.6,32.6,88.0,14.0,17.8,7.6,9.2,42.6,99.2,5.4,7.4,3.6,4.8,201.0,638.4,0.5453154648720461,5.177736549165121,0.6026631667159619,6.44,0.44035143197914584,2.937538651824366,0.8494593126172074,1.3450505050505048,0.6457264957264958,0.7466666666666667,0.40005109992848703,3.9461224489795916,0.6599999999999999,0.473939393939394,0.49333333333333335,0.6643413729128014,0.16014708586137158,0.39,0.7866666666666667,0.40855994897959186,175.26,175.26,3.0,11028.4,Mario Bautista
0.0,0.8,0.0,3.8,58.6,125.6,107.4,178.0,0.8,2.2,37.0,97.0,9.6,15.2,7.6,8.2,44.8,110.4,7.8,10.0,2.0,2.0,186.8,900.0,0.4523224822073592,2.9573333333333336,0.5983892301207714,5.824,0.3823395345251325,2.032,0.698921568627451,0.47733333333333333,0.9550000000000001,0.44800000000000006,0.3865035458703664,2.365333333333333,0.8285285285285285,0.48,0.4,0.11200000000000002,0.048,0.22857142857142856,1.0,0.21902222222222228,172.72,172.72,1.0,11496.2,Ketlen Vieira
0.0,0.5,0.0,2.5,53.0,82.5,83.0,120.0,2.0,6.5,40.0,67.5,9.0,10.0,4.0,5.0,12.5,32.5,9.0,10.0,19.0,27.0,373.5,653.5,0.6478163493840985,5.592547092547092,0.7024854340290583,8.278951678951678,0.571376811594203,4.254720616570328,0.9375,0.7615069615069615,0.8888888888888888,0.30704340704340705,0.39,1.0755937755937754,0.9411764705882353,0.7211302211302211,0.7851153039832286,1.9316715542521994,0.21408681408681407,0.325,1.0,0.5776608187134502,172.72,167.64000000000001,2.0,12426.5,Kayla Harrison
